nid0	nid1	c_obj	c_appearance	c_obj_w	c_appearance_w	m_obj	m_appearance	m_obj_w	m_appearance_w	obj_num	appearance_num
T1587_001=T1588_001	T1592_002	0.107036	0.091755	0.078457	0.066394	0.13455	0.114614	0.093566	0.079687	516	549
T1592_002	TA0003	0.227926	0.19956	0.087669	0.075266	0.753153	0.688995	0.329328	0.293735	418	432
T1583_004=T1584_004	T1592_002	0.089901	0.076033	0.058394	0.048565	0.133821	0.115839	0.085634	0.073676	366	373
T1592_002	TA0002	0.164238	0.137148	0.073469	0.0609	0.552239	0.452035	0.256309	0.20276	296	311
T1059_001	T1592_002	0.110901	0.091925	0.057238	0.045926	0.313158	0.255694	0.138636	0.109582	238	247
T1589_001	T1592_002	0.09603	0.075747	0.049781	0.038564	0.272606	0.198529	0.123317	0.086801	205	216
T1588_002	T1592_002	0.093326	0.078886	0.048657	0.039788	0.308664	0.264264	0.151576	0.124667	171	176
T1592_002	TA0011	0.110242	0.092026	0.062347	0.050642	0.579909	0.486891	0.291389	0.239565	127	130
T1592_002	TA0010	0.105185	0.090916	0.041514	0.034382	0.72093	0.664286	0.29144	0.25789	93	93
T1071_004=T1590_002	T1592_002	0.042649	0.032364	0.025839	0.019768	0.134426	0.094318	0.068675	0.050671	82	83
T1090	T1592_002	0.067165	0.057724	0.037421	0.031459	0.3375	0.303704	0.166276	0.148139	81	82
T1587_001=T1588_001	T1588_002	0.047338	0.055988	0.052781	0.064907	0.124549	0.15015	0.137873	0.169446	69	100
T1059_001	TA0002	0.106542	0.104264	0.066099	0.066183	0.126866	0.123547	0.095207	0.092349	68	85
T1592_002	TA0008	0.068256	0.061577	0.043126	0.038369	0.421384	0.410714	0.280109	0.270956	67	69
T1587_001=T1588_001	TA0003	0.044554	0.042123	0.038213	0.036253	0.117117	0.116427	0.120367	0.11788	65	73
T1218_011	T1592_002	0.065467	0.055096	0.030203	0.024607	0.418919	0.34375	0.174908	0.136229	62	66
TA0002	TA0003	0.110008	0.102011	0.093011	0.081193	0.11194	0.106858	0.100152	0.095173	60	67
T1592_002	TA0007	0.066113	0.06181	0.042129	0.039604	0.456693	0.453237	0.288234	0.29206	58	63
T1587_001=T1588_001	TA0002	0.039059	0.038009	0.034019	0.032805	0.104478	0.100291	0.099517	0.090999	56	69
T1583_004=T1584_004	T1587_001=T1588_001	0.016982	0.014004	0.019653	0.015861	0.02011	0.017081	0.024167	0.020048	55	55
T1053_005	T1592_002	0.041588	0.032133	0.031276	0.02231	0.197761	0.145604	0.190617	0.125126	53	53
TA0007	TA0008	0.35186	0.327196	0.249274	0.226449	0.393701	0.359712	0.26257	0.236472	50	50
T1583_004=T1584_004	TA0011	0.062021	0.05716	0.064748	0.057998	0.219178	0.198502	0.206351	0.180849	48	53
T1588_006	T1592_002	0.051744	0.049391	0.036248	0.03655	0.338028	0.325581	0.219729	0.223542	48	56
T1059_006	T1592_002	0.053365	0.047231	0.02429	0.021155	0.367188	0.326923	0.151054	0.131644	47	51
T1021_004	T1592_002	0.043098	0.032147	0.019265	0.013966	0.255814	0.164336	0.109035	0.065658	44	47
T1014	T1592_002	0.052149	0.041278	0.022888	0.016562	0.401961	0.310606	0.194181	0.131171	41	41
T1587_001=T1588_001	T1589_001	0.023554	0.018398	0.022223	0.016729	0.053191	0.038603	0.046161	0.031372	40	42
TA0001	TA0043	0.383606	0.370466	0.212691	0.202382	0.481928	0.45977	0.238358	0.223126	40	40
