nid	count	multiplicity	sum	msum
T1592_002	6060	7474	2845.2587	3670.5498
T1587_001=T1588_001	3835	4790	2000.5386	2548.0489
T1583_004=T1584_004	2735	3220	1323.0414	1594.8664
T1059_001	760	966	485.0038	644.7139
T1589_001	752	1088	463.6613	724.51
T1071_004=T1590_002	610	880	402.7908	558.6372
TA0003	555	627	201.6302	241.0007
T1588_002	554	666	293.1859	373.8746
TA0002	536	688	233.7787	331.1356
T1583_001=T1584_001	345	565	190.2167	319.2255
T1078	310	315	92.0985	93.764
T1587_004=T1588_005	285	390	152.2308	214.6784
T1053_005	268	364	76.597	116.6882
T1090	240	270	144.111	165.5347
TA0011	219	267	130.2594	164.0259
T1021_004	172	286	88.8238	166.0702
TA0008	159	168	67.4434	73.6019
T1056_001	156	162	48.8423	52.3226
T1566	148	178	85.2839	111.4741
T1218_011	148	192	84.8418	119.762
T1588_006	142	172	77.4325	98.1289
T1078_003	135	195	34.1505	51.0076
TA0001	131	134	59.2485	61.2563
T1583_006=T1584_006	130	140	74.5933	80.578
TA0010	129	140	57.732	65.2425
T1059_006	128	156	73.5743	94.785
TA0007	127	139	60.7861	67.4948
T1055	126	150	64.8671	77.6747
T1110	124	132	69.3976	75.2644
T1587_003=T1588_004=T1596_003	119	168	144.5843	165.5693
T1592_001	116	140	74.6379	93.927
T1047	110	112	75.1641	76.3734
T1059_007	108	130	52.78	68.4757
T1014	102	132	39.5296	58.5181
T1583_005=T1584_005	95	150	51.8009	84.7474
T1574_002	88	88	28.0554	28.0554
T1574_001	88	92	31.1967	32.8273
T1133	87	90	39.8592	41.4962
T1078_002	85	105	24.466	31.7153
T1590_005	84	100	56.9603	71.4439
TA0043	83	87	47.1752	50.3958
T1055_012	75	81	32.3216	36.0538
T1587_002=T1588_003	75	100	41.7509	56.716
T1021_005	72	120	41.5616	81.7874
T1598	72	96	50.7506	68.7811
T1543_003	72	84	32.2067	38.81
T1566_001=T1598_002	70	75	38.0271	40.7396
T1593	68	68	53.1252	53.1252
T1593_001	66	90	48.6381	67.9978
TA0004	65	68	29.9012	31.7542
T1218_010	62	94	36.6544	64.3659
TA0009	61	61	33.3029	33.3029
T1001_002=T1027_003	60	70	35.5128	42.6486
T1053_003	56	76	15.2052	23.5785
T1586_002=T1585_002	55	85	31.1777	49.1393
T1550_002	54	66	24.7429	30.6482
T1505_003	52	66	39.1687	52.1481
T1543_001	51	75	22.7185	35.7434
T1078_004	50	80	15.0993	26.3007
T1021	50	56	33.2916	38.433
T1566_002=T1598_003	50	70	25.9033	37.1444
T1036	50	52	36.3833	38.3814
TA0040	48	62	28.6026	37.6082
T1053	48	52	14.8259	16.2256
T1592_003	48	68	27.3323	42.3661
T1087_002=T1136_002	45	50	24.7108	27.4251
T1059_005	42	52	27.8302	35.3065
T1553_002	42	80	31.0278	64.5538
T1543_004	42	63	19.9792	32.0264
T1078_001	40	50	13.4591	17.3905
T1087_004=T1136_003	40	40	22.8889	22.8889
T1596	40	42	29.3672	30.8394
T1003	40	40	29.7658	29.7658
T1557	39	39	18.7258	18.7258
T1106	38	42	22.0117	25.2637
T1542_003	36	39	10.9771	11.8584
T1588	36	36	26.5518	26.5518
T1053_004	36	80	11.2302	29.8649
T1587	36	36	23.406	23.406
T1218_005	36	62	17.8329	41.8203
T1586	36	36	25.5457	25.5457
T1586_001=T1585_001	35	65	18.859	36.8444
T1087_001=T1136_001	35	45	18.3847	23.8505
T1584	34	34	25.2208	25.2208
T1595	34	38	24.9883	27.8934
T1583	34	34	25.1341	25.1341
T1594	34	34	25.5346	25.5346
T1559_001	34	42	26.0292	32.7708
T1550_003	33	42	17.7581	23.4949
T1543_002	33	39	14.5424	17.5687
T1204_002	32	34	19.6485	21.6237
T1102	32	66	25.6039	56.9984
T1204	32	32	20.9704	20.9704
T1218_007	32	54	18.5568	39.3852
T1552_004	32	36	18.1773	21.4679
