index	id	part	count	fr_scr_sum	fr_p_add	to_scr_sum	to_p_add	count_agg	fr_sum	to_sum
0	TA0043_Any_Any	0.833701	 32	 21.759237	 1.0	 50.754865	 1.0	 3795.0	 9.56242	 23.40386
1	TA0042_Any_Any	0.719176	 37	 29.183764	 1.0	 63.324688	 1.0	 6043.0	 14.71986	 23.80138
2	TA0043_None_None	0.62819	 1	 0.42653	 0.352862	 4.053675	 0.988222	 219.0	 0.40107	 1.91157
3	TA0042_None_None	0.619641	 1	 0.228426	 0.207886	 0.652551	 0.486539	 25.0	 0.21539	 0.50542
4	TA0009_Any_Any	0.582866	 21	 10.904476	 0.999999	 7.451063	 0.999869	 754.0	 6.79484	 3.64513
5	TA0009_None_None	0.577331	 1	 0.471662	 0.381997	 2.890675	 0.956824	 156.0	 0.45544	 1.61229
6	TA0011_Any_Any	0.567247	 33	 19.067735	 1.0	 20.317162	 1.0	 1572.0	 11.72255	 9.6095
7	TA0011_None_None	0.548758	 1	 0.468168	 0.379848	 7.214424	 0.999869	 235.0	 0.42128	 2.62671
8	TA0043_T1592_Any	0.51119	 5	 3.439814	 0.977126	 16.346688	 1.0	 904.0	 1.39222	 10.92552
9	TA0043_T1592_002	0.506254	 1	 0.1179	 0.111607	 18.766813	 1.0	 631.0	 0.0426	 10.42967
10	TA0040_Any_Any	0.408753	 17	 9.165752	 0.999992	 5.143667	 0.998797	 423.0	 5.00126	 1.43358
11	TA0040_None_None	0.405462	 1	 0.437854	 0.359437	 2.21554	 0.923096	 104.0	 0.41934	 0.77536
12	TA0006_Any_Any	0.375617	 47	 20.6302	 1.0	 13.760712	 1.0	 1739.0	 12.94621	 5.02665
13	TA0006_None_None	0.358599	 1	 0.435574	 0.358063	 1.713837	 0.835564	 127.0	 0.4123	 0.8403
14	TA0002_Any_Any	0.262238	 32	 15.845055	 1.0	 24.632534	 1.0	 2141.0	 7.84639	 9.21017
15	TA0002_None_None	0.220965	 1	 0.431863	 0.354393	 11.864448	 1.0	 403.0	 0.35192	 4.51475
16	TA0042_T1588_Any	0.140751	 7	 4.736638	 0.995153	 24.639615	 1.0	 1524.0	 2.04431	 12.34452
17	TA0001_Any_Any	0.100307	 17	 13.393819	 1.0	 10.677448	 0.999995	 1859.0	 9.01734	 5.42533
18	TA0001_None_None	0.08717	 1	 0.525687	 0.414741	 2.037901	 0.886465	 264.0	 0.48538	 0.96306
19	TA0042_T1588_002	0.084214	 1	 0.457771	 0.371451	 15.310151	 1.0	 527.0	 0.2629	 7.99228
20	TA0010_Any_Any	0.065914	 5	 4.464148	 0.995489	 3.349789	 0.984349	 180.0	 1.4658	 0.6866
21	TA0010_None_None	0.065104	 1	 0.467562	 0.379249	 2.199608	 0.921267	 91.0	 0.43591	 0.52119
22	TA0008_Any_Any	0.053117	 21	 14.251946	 1.0	 7.935092	 0.999934	 1200.0	 9.46516	 2.93792
23	TA0042_T1587_Any	0.05108	 5	 3.598692	 0.981344	 8.827107	 0.999961	 753.0	 1.39467	 4.76137
24	TA0042_T1584_Any	0.050628	 7	 9.110858	 0.999996	 12.679185	 1.0	 1208.0	 4.34146	 5.78452
25	TA0043_T1589_Any	0.048256	 3	 2.168813	 0.908999	 10.743739	 1.0	 432.0	 0.4584	 8.57301
26	TA0042_T1588_001	0.047636	 1	 0.36877	 0.31137	 8.727102	 0.999927	 474.0	 0.1726	 3.81054
27	TA0043_T1589_001	0.047161	 1	 0.516313	 0.406535	 17.405749	 1.0	 486.0	 0.24355	 8.96539
28	TA0042_T1587_001	0.045089	 1	 0.377012	 0.317111	 8.813913	 0.999935	 474.0	 0.1697	 3.82755
29	TA0008_None_None	0.044846	 1	 0.447225	 0.364397	 1.285708	 0.734519	 209.0	 0.40799	 0.44577
30	TA0004_Any_Any	0.043314	 45	 24.14473	 1.0	 11.097766	 1.0	 1359.0	 14.79286	 3.29161
31	TA0042_T1584_004	0.039298	 1	 0.454204	 0.368628	 8.888952	 0.999971	 518.0	 0.24876	 3.50438
32	TA0042_T1583_Any	0.038042	 7	 9.096983	 0.999996	 12.565987	 1.0	 1210.0	 4.33122	 5.4373
33	TA0003_Any_Any	0.037626	 45	 22.930743	 1.0	 12.254498	 1.0	 1442.0	 13.73035	 3.34671
34	TA0004_None_None	0.0332	 1	 0.584711	 0.4492	 2.50118	 0.939908	 205.0	 0.53193	 0.46829
35	TA0042_T1583_004	0.027789	 1	 0.538772	 0.420529	 8.624094	 0.99996	 518.0	 0.27957	 3.3453
36	TA0003_None_None	0.027227	 1	 0.493059	 0.393343	 5.476855	 0.999018	 259.0	 0.39519	 0.87418
37	TA0005_Any_Any	0.023804	 40	 18.713578	 1.0	 4.176836	 0.992383	 783.0	 13.60726	 1.15154
38	TA0002_T1059_Any	0.022164	 8	 3.550853	 0.981765	 4.516372	 0.994028	 542.0	 1.53865	 2.17501
39	TA0007_Any_Any	0.020249	 18	 15.009246	 1.0	 5.797199	 0.999175	 572.0	 10.38899	 1.90702
40	TA0007_None_None	0.017715	 1	 0.483653	 0.387922	 2.624638	 0.961547	 116.0	 0.42755	 0.2242
41	TA0011_T1090_Any	0.016229	 5	 4.537457	 0.995968	 2.106457	 0.899385	 185.0	 2.763	 1.3834
42	TA0002_T1204_Any	0.01516	 4	 2.245817	 0.922112	 1.908171	 0.869123	 262.0	 1.01639	 0.89571
43	TA0043_T1590_Any	0.012987	 6	 5.319838	 0.998014	 4.649585	 0.995905	 429.0	 1.97916	 2.92258
44	TA0011_T1090_None	0.012746	 1	 0.88277	 0.596324	 2.856396	 0.952337	 128.0	 0.74773	 1.27388
45	TA0002_T1059_001	0.01235	 1	 0.310143	 0.268947	 2.377906	 0.919018	 142.0	 0.1465	 0.95884
46	TA0043_T1593_Any	0.009267	 3	 2.761422	 0.952772	 5.175003	 0.998784	 284.0	 1.03561	 2.41798
47	TA0011_T1071_Any	0.008808	 3	 2.064681	 0.893248	 2.705254	 0.955404	 231.0	 1.43742	 1.7443
48	TA0002_T1053_Any	0.008665	 7	 4.95852	 0.998324	 4.245714	 0.996774	 277.0	 1.79704	 2.19984
49	TA0042_T1588_006	0.008468	 1	 0.5386	 0.425731	 1.690438	 0.830671	 118.0	 0.3542	 0.78
50	TA0043_T1598_Any	0.00806	 4	 3.330793	 0.975273	 3.660062	 0.984736	 328.0	 1.56136	 1.95858
51	TA0043_T1590_002	0.007903	 1	 0.695905	 0.510073	 3.085658	 0.970798	 159.0	 0.46556	 1.61721
52	TA0002_T1204_002	0.007776	 1	 0.3847	 0.325428	 0.737385	 0.533217	 73.0	 0.24489	 0.28207
53	TA0043_T1592_001	0.006804	 1	 0.666778	 0.500239	 2.51255	 0.927485	 189.0	 0.27758	 1.11632
54	TA0006_T1110_Any	0.00675	 5	 1.697959	 0.841252	 0.929405	 0.631278	 140.0	 1.42276	 0.33225
55	TA0001_T1566_Any	0.006688	 4	 3.541687	 0.977358	 2.608271	 0.935694	 418.0	 2.42754	 1.36646
56	TA0011_T1071_004	0.006478	 1	 0.67285	 0.498639	 2.261258	 0.914712	 154.0	 0.47591	 1.1363
57	TA0008_T1021_Any	0.005994	 7	 4.809465	 0.994909	 4.530234	 0.995646	 561.0	 3.33275	 1.43346
58	TA0001_T1566_None	0.00594	 1	 0.596954	 0.45363	 2.228313	 0.902227	 224.0	 0.44561	 1.07607
59	TA0006_T1003_Any	0.005664	 8	 3.681933	 0.986924	 1.785732	 0.849998	 246.0	 3.08696	 1.14674
60	TA0042_T1584_001	0.005658	 1	 0.948691	 0.621509	 2.381683	 0.917419	 266.0	 0.56073	 1.00352
61	TA0002_T1204_001	0.005581	 1	 0.232938	 0.20929	 0.605865	 0.460803	 83.0	 0.16255	 0.29356
62	TA0006_T1110_None	0.005076	 1	 0.475766	 0.384102	 0.928248	 0.617907	 102.0	 0.3725	 0.25868
63	TA0011_T1102_Any	0.005063	 3	 3.738063	 0.988229	 3.376743	 0.989701	 146.0	 3.10555	 3.07861
64	TA0001_T1078_Any	0.004953	 5	 3.511177	 0.977037	 3.337821	 0.974618	 430.0	 2.50054	 2.06062
65	TA0043_T1593_001	0.004851	 1	 0.994519	 0.642658	 3.959307	 0.993294	 112.0	 0.60903	 2.06505
66	TA0042_T1583_001	0.004794	 1	 0.960626	 0.626336	 2.04282	 0.88089	 266.0	 0.56223	 0.83767
67	TA0043_T1596_Any	0.004763	 6	 6.464981	 0.999618	 2.350883	 0.92676	 367.0	 3.4358	 0.8777
68	TA0043_T1598_None	0.004677	 1	 1.292366	 0.745727	 3.287908	 0.974259	 156.0	 0.65885	 1.23985
69	TA0002_T1053_005	0.004529	 1	 0.454999	 0.372004	 1.941312	 0.894123	 66.0	 0.20554	 0.35893
70	TA0011_T1102_None	0.004501	 1	 1.898388	 0.880143	 3.745442	 0.992277	 136.0	 1.67599	 2.99025
71	TA0043_T1590_005	0.004291	 1	 0.736288	 0.529179	 2.956502	 0.959012	 136.0	 0.50453	 1.33071
72	TA0043_T1593_None	0.004105	 1	 0.917594	 0.615158	 2.662102	 0.948563	 151.0	 0.48997	 0.82694
73	TA0009_T1213_Any	0.003836	 3	 1.421489	 0.775401	 0.849256	 0.590545	 101.0	 0.99741	 0.3719
